incluir;productCode;categoria;titulo;rating;reviews;price;score;viatorUrl
x;147752P1;strip-tours;An adventure in Glassblowing by Torch;4.976744;43;75;4.8;https://www.viator.com/tours/Las-Vegas/Adventure-in-Glassblowing-by-Torch/d684-147752P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;398496P2;strip-tours;Las Vegas Strip Self-Drive Rental;5;38;57;4.8;https://www.viator.com/tours/Las-Vegas/Electric-Vehicle-Rental-in-Las-Vegas/d684-398496P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;377560P4;strip-tours;Private 1-Hour Downtown Las Vegas Highlights by Talking GoCar;4.9206347;63;52;4.8;https://www.viator.com/tours/Las-Vegas/1-HR-Downtown-Las-Vegas-Tour-in-a-Talking-GoCar/d684-377560P4?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;394991P1;strip-tours;ARTE Museum: Immersive Digital Art Experience in Las Vegas;4.7996283;2151;50;4.796;https://www.viator.com/tours/Las-Vegas/ARTE-MUSEUM-Las-Vegas/d684-394991P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;398496P5;strip-tours;The Ultimate Vegas Nights Tour;4.928571;56;85;4.796;https://www.viator.com/tours/Las-Vegas/MGM-Sphere-Guided-Driving-Tour/d684-398496P5?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;222766P2;strip-tours;Red Riding Hood Escape Games in Las Vegas;4.866667;105;41.03;4.796;https://www.viator.com/tours/Las-Vegas/Red-Riding-Hood/d684-222766P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;324012P1;strip-tours;Best Bars on Fremont: Happy Hour and Hidden Gems;5;36;99;4.795;https://www.viator.com/tours/Las-Vegas/Best-Bars-on-Fremont-Happy-Hour-and-Hidden-Gems/d684-324012P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;3072LASMEN;strip-tours;The Mentalist at Planet Hollywood Resort and Casino;4.788569;2327;39;4.786;https://www.viator.com/tours/Las-Vegas/The-Mentalist-at-Planet-Hollywood-Hotel-and-Casino/d684-3072LASMEN?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;50793P5;strip-tours;Los Angeles and Hollywood Small Group Day Tour from Las Vegas;4.7892156;1632;279.99;4.785;https://www.viator.com/tours/Las-Vegas/Los-Angeles-and-Hollywood-Day-Tour-from-Las-Vegas/d684-50793P5?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;6238NIGHT;strip-tours;Las Vegas Strip by Super Stretch Limo with Personal Photographer;4.8271604;162;599.99;4.785;https://www.viator.com/tours/Las-Vegas/Viator-Exclusive-Las-Vegas-Strip-by-Limo-with-Personal-Photographer/d684-6238NIGHT?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;166735P1;strip-tours;Small Group Hollywood Day Tour from Las Vegas;4.8066916;269;789;4.782;https://www.viator.com/tours/Las-Vegas/Best-Vegas-to-Hollywood-Tour/d684-166735P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;322196P1;strip-tours;Haunted Boulder City Ghost and UFO Tour;4.869565;69;19.95;4.776;https://www.viator.com/tours/Las-Vegas/Haunted-Boulder-City-Ghost-and-UFO-Tour/d684-322196P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;2434MOB;strip-tours;The Vegas Mob Tour;4.7876344;372;124.95;4.771;https://www.viator.com/tours/Las-Vegas/The-Vegas-Mob-Tour/d684-2434MOB?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5156LASMEN;strip-tours;The Big Apple Coaster at New York New York Hotel and Casino;4.773603;1038;20.52;4.768;https://www.viator.com/tours/Las-Vegas/The-Big-Apple-Coaster-at-New-York-New-York-Hotel-and-Casino/d684-5156LASMEN?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;7812P204;strip-tours;Private: Downtown Las Vegas Food Tour of 6 Dishes & Hidden Gems;5;26;490;4.768;https://www.viator.com/tours/Las-Vegas/Private-Tour-Food-Tasting-Tour-Las-Vegas/d684-7812P204?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5557709P1;strip-tours;Las Vegas Wine Tour Experience;5;24;399;4.762;https://www.viator.com/tours/Las-Vegas/The-Las-Vegas-Wine-Tour-Experience/d684-5557709P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;361970P2;strip-tours;2-Hour Private Guided Sidecar Tour in Las Vegas;4.964286;28;161;4.761;https://www.viator.com/tours/Las-Vegas/The-Best-of-Las-Vegas-on-a-Sidecar-Motorcycle-with-your-Private-Guide/d684-361970P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5084LASDON;strip-tours;Donny Osmond at Harrahs Hotel and Casino Las Vegas;4.779923;259;104.79;4.758;https://www.viator.com/tours/Las-Vegas/Donny-Osmond-at-Harrahs-Hotel-and-Casino-Las-Vegas/d684-5084LASDON?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;130144P11;strip-tours;Mount Charleston Tour;4.8235292;85;109;4.758;https://www.viator.com/tours/Las-Vegas/Mount-Charleston-and-Lee-Canyon/d684-130144P11?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;10971P1;strip-tours;The Ultimate Las Vegas Fight Tour;4.7943263;141;249;4.756;https://www.viator.com/tours/Las-Vegas/Vegas-Fight-Tour/d684-10971P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5555066P1;strip-tours;Las Vegas Airport Round Trip Service;4.9615383;26;227.39;4.755;https://www.viator.com/tours/Las-Vegas/Luxury-Airport-Round-Trip-Service/d684-5555066P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5512054P7;strip-tours;Small Group Vegas Strip Walking Tour with Free Drink;5;21;49;4.752;https://www.viator.com/tours/Las-Vegas/Vegas-Strip-Walking-Tour-Secret-Spots-Best-Photos-Free-Drink/d684-5512054P7?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;3017P17;strip-tours;Colorado River Blast: Adrenaline RZR Tour + Ghost Town + Lunch;5;21;748;4.752;https://www.viator.com/tours/Las-Vegas/Colorado-River-Adrenaline-RZR-Tour/d684-3017P17?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5580761P3;strip-tours;Play Playground Entry Ticket with Play Pass at the Luxor Hotel;4.818182;77;39.75;4.751;https://www.viator.com/tours/Las-Vegas/Play-Playground-Entry-Ticket-with-Play-Pass/d684-5580761P3?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;277735P3;strip-tours;Witches and Warlocks of Las Vegas Underworld 810 S Las Vegas Blvd;4.777202;193;89;4.751;https://www.viator.com/tours/Las-Vegas/Witches-and-warlocks-Halloween-Show-at-Las-Vegas-Magic-Theater/d684-277735P3?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;6242P18;strip-tours;Downtown Las Vegas Food Tour;4.875;40;99;4.749;https://www.viator.com/tours/Las-Vegas/Downtown-Las-Vegas-Food-Tour/d684-6242P18?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;138742P3;strip-tours;Bar-hop on the Vegas Strip like a local;5;19;49;4.745;https://www.viator.com/tours/Las-Vegas/Bars-Unknown-Original-Las-Vegas-Strip-Bar-Crawl/d684-138742P3?mcid=42383&pid=P00140156&medium=api&api_version=2.0
